Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2004-2005,17,Barcelona,es ESP,1. La Liga,1st,0.8,,,,,,,,,,,,,,,0,,,,,,,,,Matches
2005-2006,18,Barcelona,es ESP,1. La Liga,1st,10.1,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2006-2007,19,Barcelona,es ESP,1. La Liga,2nd,22.0,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,21.9,,,,,,,,,,,,,,,12,,,,,,,,,Matches
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,28.0,,,,,,,,,,,,,,,11,,,,,,,,,Matches
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,31.2,,,,,,,,,,,,,,,9,,,,,,,,,Matches
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,31.8,,,,,,,,,,,,,,,19,,,,,,,,,Matches
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,36.3,,,,,,,,,,,,,,,16,,,,,,,,,Matches
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,29.4,,,,,,,,,,,,,,,11,,,,,,,,,Matches
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,27.8,,,,,,,,,,,,,,,11,,,,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,37.5,,,,,,,,,,,,,,,18,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,30.3,,,,,,,,,,,,,,,14,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,31.4,,,,,,,,,,,,,,,9,,,,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,33.3,1544,1978,78.1,22697,8141,893,1023,87.3,448,548,81.8,116,192,60.4,12,13.9,14.4,-1.9,86,211,131,2,333,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,30.1,1504,1936,77.7,24346,8451,839,948,88.5,453,598,75.8,155,242,64.0,13,14.4,14.0,-1.4,89,200,140,2,328,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,32.0,1675,2130,78.6,24251,8742,961,1077,89.2,486,602,80.7,124,225,55.1,21,15.4,14.0,+5.6,88,228,122,4,323,Matches
2020-2021,33,Barcelona,es ESP,1. La Liga,3rd,33.6,1954,2402,81.3,27676,9454,1162,1290,90.1,533,639,83.4,130,222,58.6,9,9.5,13.4,-0.5,77,246,131,11,335,Matches
2021-2022,34,Paris S-G,fr FRA,1. Ligue 1,1st,23.9,1400,1657,84.5,21648,7365,762,844,90.3,450,512,87.9,113,154,73.4,14,8.8,9.0,+5.2,63,217,82,3,291,Matches
2022-2023,35,Paris S-G,fr FRA,1. Ligue 1,1st,25.5,1328,1664,79.8,20661,7231,729,839,86.9,406,488,83.2,125,187,66.8,14,10.7,12.9,+3.3,75,184,103,2,243,Matches
