Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2004-2005,17,Barcelona,es ESP,1. La Liga,1st,0.8,1,,4,,,5.14,,0.25,,,0,0,,,,,,Matches
2005-2006,18,Barcelona,es ESP,1. La Liga,1st,10.1,6,,23,,,2.27,,0.26,,,0,0,,,,,,Matches
2006-2007,19,Barcelona,es ESP,1. La Liga,2nd,22.0,14,,32,,,1.45,,0.44,,,0,0,,,,,,Matches
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,21.9,10,,33,,,1.51,,0.18,,,4,4,,,,,,Matches
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,28.0,23,,55,,,1.97,,0.36,,,3,4,,,,,,Matches
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,31.2,34,,104,,,3.34,,0.32,,,1,1,,,,,,Matches
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,31.8,31,,76,,,2.39,,0.36,,,4,4,,,,,,Matches
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,36.3,50,,114,,,3.14,,0.35,,,10,11,,,,,,Matches
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,29.4,46,,90,,,3.06,,0.47,,,4,4,,,,,,Matches
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,27.8,28,,79,,,2.84,,0.27,,,7,8,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,37.5,43,,104,,,2.77,,0.37,,,5,6,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,30.3,26,158,75,47.5,5.21,2.47,0.15,0.31,,,3,7,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,31.4,37,179,77,43.0,5.69,2.45,0.17,0.40,,,6,7,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,33.3,34,193,91,47.2,5.79,2.73,0.17,0.35,19.7,48,2,4,27.1,24.0,0.12,+6.9,+8.0,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,30.1,36,165,82,49.7,5.47,2.72,0.19,0.39,20.2,41,4,5,23.8,19.9,0.12,+12.2,+12.1,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,32.0,25,154,63,40.9,4.81,1.97,0.13,0.32,20.9,43,5,5,19.4,15.4,0.10,+5.6,+4.6,Matches
2020-2021,33,Barcelona,es ESP,1. La Liga,3rd,33.6,30,191,85,44.5,5.69,2.53,0.14,0.32,19.7,40,3,5,22.1,17.8,0.10,+7.9,+9.2,Matches
2021-2022,34,Paris S-G,fr FRA,1. Ligue 1,1st,23.9,6,89,29,32.6,3.72,1.21,0.07,0.21,19.1,16,0,0,10.0,10.0,0.11,-4.0,-4.0,Matches
2022-2023,35,Paris S-G,fr FRA,1. Ligue 1,1st,25.5,15,110,48,43.6,4.31,1.88,0.14,0.31,18.0,16,0,0,14.0,14.0,0.13,+1.0,+1.0,Matches
