Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
2004-2005,17,Barcelona,es ESP,1. La Liga,1st,7,0,70,0.8,1,0,1,1,0,0,0,0,,,,,,,,1.29,0.00,1.29,1.29,1.29,,,,,,Matches
2005-2006,18,Barcelona,es ESP,1. La Liga,1st,17,11,911,10.1,6,3,9,6,0,0,2,0,,,,,,,,0.59,0.30,0.89,0.59,0.89,,,,,,Matches
2006-2007,19,Barcelona,es ESP,1. La Liga,2nd,26,23,1983,22.0,14,3,17,14,0,0,2,0,,,,,,,,0.64,0.14,0.77,0.64,0.77,,,,,,Matches
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,27,23,1973,21.9,10,12,22,6,4,4,2,0,,,,,,,,0.46,0.55,1.00,0.27,0.82,,,,,,Matches
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,31,27,2516,28.0,23,11,34,20,3,4,2,0,,,,,,,,0.82,0.39,1.22,0.72,1.11,,,,,,Matches
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,35,30,2805,31.2,34,9,43,33,1,1,3,0,,,,,,,,1.09,0.29,1.38,1.06,1.35,,,,,,Matches
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,33,31,2858,31.8,31,19,50,27,4,4,3,0,,,,,,,,0.98,0.60,1.57,0.85,1.45,,,,,,Matches
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,37,36,3270,36.3,50,16,66,40,10,11,6,0,,,,,,,,1.38,0.44,1.82,1.10,1.54,,,,,,Matches
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,32,28,2650,29.4,46,11,57,42,4,4,1,0,,,,,,,,1.56,0.37,1.94,1.43,1.80,,,,,,Matches
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,31,29,2501,27.8,28,11,39,21,7,8,2,0,,,,,,,,1.01,0.40,1.40,0.76,1.15,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,38,37,3375,37.5,43,18,61,38,5,6,4,0,,,,,,,,1.15,0.48,1.63,1.01,1.49,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,33,31,2729,30.3,26,14,40,23,3,7,3,0,,,,,,,,0.86,0.46,1.32,0.76,1.22,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,34,32,2830,31.4,37,9,46,31,6,7,6,0,,,,,,,,1.18,0.29,1.46,0.99,1.27,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,36,32,3000,33.3,34,12,46,32,2,4,3,0,27.1,24.0,13.9,37.9,211,333,263,1.02,0.36,1.38,0.96,1.32,0.81,0.42,1.23,0.72,1.14,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,34,29,2713,30.1,36,13,49,32,4,5,3,0,23.8,19.9,14.4,34.2,153,328,206,1.19,0.43,1.63,1.06,1.49,0.79,0.48,1.27,0.66,1.14,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,33,32,2880,32.0,25,21,46,20,5,5,4,0,19.4,15.4,15.4,30.8,220,323,252,0.78,0.66,1.44,0.62,1.28,0.61,0.48,1.09,0.48,0.96,Matches
2020-2021,33,Barcelona,es ESP,1. La Liga,3rd,35,33,3023,33.6,30,9,39,27,3,5,4,0,22.1,17.8,9.5,27.2,215,335,263,0.89,0.27,1.16,0.80,1.07,0.66,0.28,0.94,0.53,0.81,Matches
2021-2022,34,Paris S-G,fr FRA,1. Ligue 1,1st,26,24,2153,23.9,6,14,20,6,0,0,0,0,10.0,10.0,8.8,18.9,113,291,125,0.25,0.59,0.84,0.25,0.84,0.42,0.37,0.79,0.42,0.79,Matches
2022-2023,35,Paris S-G,fr FRA,1. Ligue 1,1st,26,26,2297,25.5,15,14,29,15,0,0,0,0,14.0,14.0,10.7,24.6,100,243,190,0.59,0.55,1.14,0.59,1.14,0.55,0.42,0.97,0.55,0.97,Matches
