Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2002-2003,17,Sporting CP,pt POR,1. Primeira Liga,3rd,12.0,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2003-2004,18,Manchester Utd,eng ENG,1. Premier League,3rd,17.2,,,,,,,,,,,,,,,4,,,,,,,,,Matches
2004-2005,19,Manchester Utd,eng ENG,1. Premier League,3rd,26.9,,,,,,,,,,,,,,,4,,,,,,,,,Matches
2005-2006,20,Manchester Utd,eng ENG,1. Premier League,2nd,25.4,,,,,,,,,,,,,,,6,,,,,,,,,Matches
2006-2007,21,Manchester Utd,eng ENG,1. Premier League,1st,31.0,,,,,,,,,,,,,,,8,,,,,,,,,Matches
2007-2008,22,Manchester Utd,eng ENG,1. Premier League,1st,30.5,,,,,,,,,,,,,,,6,,,,,,,,,Matches
2008-2009,23,Manchester Utd,eng ENG,1. Premier League,1st,30.5,,,,,,,,,,,,,,,6,,,,,,,,,Matches
2009-2010,24,Real Madrid,es ESP,1. La Liga,2nd,27.3,,,,,,,,,,,,,,,7,,,,,,,,,Matches
2010-2011,25,Real Madrid,es ESP,1. La Liga,2nd,32.4,,,,,,,,,,,,,,,9,,,,,,,,,Matches
2011-2012,26,Real Madrid,es ESP,1. La Liga,1st,37.2,,,,,,,,,,,,,,,12,,,,,,,,,Matches
2012-2013,27,Real Madrid,es ESP,1. La Liga,2nd,30.2,,,,,,,,,,,,,,,10,,,,,,,,,Matches
2013-2014,28,Real Madrid,es ESP,1. La Liga,3rd,28.2,,,,,,,,,,,,,,,9,,,,,,,,,Matches
2014-2015,29,Real Madrid,es ESP,1. La Liga,2nd,34.4,,,,,,,,,,,,,,,16,,,,,,,,,Matches
2015-2016,30,Real Madrid,es ESP,1. La Liga,2nd,35.4,,,,,,,,,,,,,,,9,,,,,,,,,Matches
2016-2017,31,Real Madrid,es ESP,1. La Liga,1st,28.2,,,,,,,,,,,,,,,6,,,,,,,,,Matches
2017-2018,32,Real Madrid,es ESP,1. La Liga,3rd,25.4,615,789,77.9,8268,1746,390,462,84.4,164,212,77.4,26,41,63.4,5,5.0,4.9,0.0,38,44,26,4,99,Matches
2018-2019,33,Juventus,it ITA,1. Serie A,1st,29.9,915,1114,82.1,12868,2096,554,628,88.2,256,311,82.3,53,75,70.7,8,4.6,3.5,+3.4,47,51,39,14,130,Matches
2019-2020,34,Juventus,it ITA,1. Serie A,1st,32.4,1052,1267,83.0,13479,2486,666,741,89.9,249,292,85.3,49,65,75.4,5,6.4,4.7,-1.4,51,74,32,2,118,Matches
2020-2021,35,Juventus,it ITA,1. Serie A,4th,31.1,838,1078,77.7,11323,2590,519,602,86.2,231,288,80.2,36,63,57.1,2,3.8,3.2,-1.8,36,73,32,7,117,Matches
2021-2022,36,Juventus,it ITA,1. Serie A,4th,0.3,8,13,61.5,105,16,6,8,75.0,1,2,50.0,1,1,100.0,0,0.1,0.0,-0.1,1,0,0,0,2,Matches
2021-2022,36,Manchester Utd,eng ENG,1. Premier League,6th,27.3,726,904,80.3,8929,1337,469,541,86.7,174,218,79.8,20,29,69.0,3,2.9,2.0,+0.1,26,46,16,0,64,Matches
2022-2023,37,Manchester Utd,eng ENG,1. Premier League,3rd,5.8,121,162,74.7,1412,258,85,97,87.6,27,39,69.2,1,5,20.0,0,0.4,0.2,-0.4,6,7,1,0,12,Matches
2022-2023,37,Al-Nassr,sa KSA,1. Pro League,2nd,10.0,,,,,,,,,,,,,,,2,,,,,,,,,Matches
21 Seasons,21 Seasons,5 Clubs,,5 Leagues,,589.1,4275,5327,80.3,56384,10529,2689,3079,87.3,1102,1362,80.9,186,279,66.7,140,23.1,18.5,+116.9,205,295,146,27,542,
Real Madrid (9 Seasons),Real Madrid (9 Seasons),Real Madrid (9 Seasons),,1 League,,278.7,615,789,77.9,8268,1746,390,462,84.4,164,212,77.4,26,41,63.4,83,5.0,4.9,+78.0,38,44,26,4,99,
Manchester Utd (8 Seasons),Manchester Utd (8 Seasons),Manchester Utd (8 Seasons),,1 League,,194.7,847,1066,79.5,10341,1595,554,638,86.8,201,257,78.2,21,34,61.8,37,3.3,2.3,+33.7,32,53,17,0,76,
Juventus (4 Seasons),Juventus (4 Seasons),Juventus (4 Seasons),,1 League,,93.8,2813,3472,81.0,37775,7188,1745,1979,88.2,737,893,82.5,139,204,68.1,15,14.8,11.4,+0.2,135,198,103,23,367,
Sporting CP (1 Season),Sporting CP (1 Season),Sporting CP (1 Season),,1 League,,12.0,,,,,,,,,,,,,,,3,,,,,,,,,
Al-Nassr (1 Season),Al-Nassr (1 Season),Al-Nassr (1 Season),,1 League,,10.0,,,,,,,,,,,,,,,2,,,,,,,,,
