Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
2002-2003,17,Sporting CP,pt POR,1. Primeira Liga,3rd,12.0,,,,,,,,,,,,,,,,,,,,,,,Matches
2003-2004,18,Manchester Utd,eng ENG,1. Premier League,3rd,17.2,,,,,,,,,,,,,,,,,,,,,,,Matches
2004-2005,19,Manchester Utd,eng ENG,1. Premier League,3rd,26.9,,,,,,,,,,,,,,,,,,,,,,,Matches
2005-2006,20,Manchester Utd,eng ENG,1. Premier League,2nd,25.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2006-2007,21,Manchester Utd,eng ENG,1. Premier League,1st,31.0,,,,,,,,,,,,,,,,,,,,,,,Matches
2007-2008,22,Manchester Utd,eng ENG,1. Premier League,1st,30.5,,,,,,,,,,,,,,,,,,,,,,,Matches
2008-2009,23,Manchester Utd,eng ENG,1. Premier League,1st,30.5,,,,,,,,,,,,,,,,,,,,,,,Matches
2009-2010,24,Real Madrid,es ESP,1. La Liga,2nd,27.3,,,,,,,,,,,,,,,,,,,,,,,Matches
2010-2011,25,Real Madrid,es ESP,1. La Liga,2nd,32.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2011-2012,26,Real Madrid,es ESP,1. La Liga,1st,37.2,,,,,,,,,,,,,,,,,,,,,,,Matches
2012-2013,27,Real Madrid,es ESP,1. La Liga,2nd,30.2,,,,,,,,,,,,,,,,,,,,,,,Matches
2013-2014,28,Real Madrid,es ESP,1. La Liga,3rd,28.2,,,,,,,,,,,,,,,,,,,,,,,Matches
2014-2015,29,Real Madrid,es ESP,1. La Liga,2nd,34.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2015-2016,30,Real Madrid,es ESP,1. La Liga,2nd,35.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,31,Real Madrid,es ESP,1. La Liga,1st,28.2,,,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,32,Real Madrid,es ESP,1. La Liga,3rd,25.4,1087,17,44,350,707,237,1084,51,31,60.8,20,39.2,748,4649,2726,118,52,56,42,27,909,298,Matches
2018-2019,33,Juventus,it ITA,1. Serie A,1st,29.9,1494,37,79,540,893,196,1488,85,45,52.9,40,47.1,1033,7485,3945,145,106,48,54,39,1274,358,Matches
2019-2020,34,Juventus,it ITA,1. Serie A,1st,32.4,1699,26,74,638,1002,217,1686,87,53,60.9,34,39.1,1220,7615,4216,167,126,53,72,32,1456,321,Matches
2020-2021,35,Juventus,it ITA,1. Serie A,4th,31.1,1442,20,61,589,805,197,1434,95,58,61.1,37,38.9,831,6215,3604,154,124,67,62,32,1167,277,Matches
2021-2022,36,Juventus,it ITA,1. Serie A,4th,0.3,15,0,1,8,7,2,15,1,1,100.0,0,0.0,7,49,23,1,2,0,0,0,11,3,Matches
2021-2022,36,Manchester Utd,eng ENG,1. Premier League,6th,27.3,1168,30,102,500,573,170,1165,32,20,62.5,12,37.5,631,3252,1744,67,40,37,50,30,952,192,Matches
2022-2023,37,Manchester Utd,eng ENG,1. Premier League,3rd,5.8,220,8,25,91,106,32,220,9,4,44.4,3,33.3,94,477,288,9,6,3,7,3,167,33,Matches
2022-2023,37,Al-Nassr,sa KSA,1. Pro League,2nd,10.0,,,,,,,,,,,,,,,,,,,,,,,Matches
